"experiment","model","experiment_model","seed","n_train","n_test","AUC","Accuracy","Baseline","Lift","Recall","Precision","F1"
"original","Logistic Regression","original_Logistic Regression",42,11540,1882,0.788556389870436,0.921824104234528,0.766206163655685,0.155617940578842,1,0.921824104234528,0.959322033898305
"original","Random Forest","original_Random Forest",42,11540,1882,0.760658547871445,0.930921052631579,0.766206163655685,0.164714888975894,1,0.930921052631579,0.964224872231687
"original","SVM","original_SVM",42,11540,1882,0.781882966977818,0.924812030075188,0.766206163655685,0.158605866419503,1,0.924812030075188,0.9609375
"original","Neural Network","original_Neural Network",42,11540,1882,0.794546346919907,0.933501683501683,0.766206163655685,0.167295519845998,1,0.933501683501683,0.96560731388768
"original","XGBoost","original_XGBoost",42,11540,1882,0.705998857979102,0.758118701007839,0.766206163655685,-0.00808746264784665,1,0.758118701007839,0.862420382165605
"original","LightGBM","original_LightGBM",42,11540,1882,0.76752412379381,0.896035242290749,0.766206163655685,0.129829078635064,1,0.896035242290749,0.945167286245353
"df_binary","Logistic Regression","df_binary_Logistic Regression",42,11540,1882,0.794941580756014,0.920621931260229,0.766206163655685,0.154415767604544,1,0.920621931260229,0.958670643374521
"df_binary","Random Forest","df_binary_Random Forest",42,11540,1882,0.780337984067781,0.923263327948304,0.766206163655685,0.157057164292618,1,0.923263327948304,0.96010079798404
"df_binary","SVM","df_binary_SVM",42,11540,1882,0.778691291828021,0.925558312655087,0.766206163655685,0.159352148999401,1,0.925558312655087,0.961340206185567
"df_binary","Neural Network","df_binary_Neural Network",42,11540,1882,0.797259786476868,0.93744787322769,0.766206163655685,0.171241709572004,1,0.93744787322769,0.96771416272062
"df_binary","XGBoost","df_binary_XGBoost",42,11540,1882,0.61735279283823,0.766206163655685,0.766206163655685,0,1,0.766206163655685,0.8676293622142
"df_binary","LightGBM","df_binary_LightGBM",42,11540,1882,0.76752412379381,0.896035242290749,0.766206163655685,0.129829078635064,1,0.896035242290749,0.945167286245353
"prod_num","Logistic Regression","prod_num_Logistic Regression",42,11540,1882,0.786088524159171,0.923390383048085,0.766206163655685,0.157184219392399,1,0.923390383048085,0.960169491525424
"prod_num","Random Forest","prod_num_Random Forest",42,11540,1882,0.807203792369661,0.876790830945559,0.766206163655685,0.110584667289873,1,0.876790830945559,0.934351145038168
"prod_num","SVM","prod_num_SVM",42,11540,1882,0.766984250040803,0.926788685524126,0.766206163655685,0.160582521868441,1,0.926788685524126,0.962003454231433
